Date,AEPCSP,AEPOP,FECEI,FEOE,FETE,DUKE,DPL
1/1/2014,8.68342,7.81519,6.218,6.1547,6.157,5.316,7.29024
2/1/2014,8.68342,7.81519,6.218,6.1547,6.157,5.3554,7.29024
3/1/2014,8.68342,7.81519,6.218,6.1547,6.157,5.3554,7.29024
4/1/2014,9.63818,8.68512,6.3636,6.3349,6.3343,5.4103,7.29024
5/1/2014,9.63818,8.68512,6.3636,6.3349,6.3343,5.4103,7.29024
6/1/2014,9.63818,8.68512,7.7332,7.6852,7.6924,6.907066667,9.07314
7/1/2014,8.7168,7.79573,7.9034,7.8361,7.8478,6.897066667,9.07314
8/1/2014,8.7168,7.79573,7.9034,7.8361,7.8478,6.897066667,9.07314
9/1/2014,9.15176,8.23069,6.9277,6.8604,6.8721,6.897066667,7.68339
10/1/2014,9.91159,8.90821,6.8562,6.7586,6.8231,5.291233333,7.68339
11/1/2014,9.91159,8.90821,6.8562,6.7586,6.8231,5.291233333,7.68339
12/1/2014,9.91159,8.90821,6.8562,6.7586,6.8231,5.291233333,7.64354
1/1/2015,9.7517,9.0211,6.7768,6.686,6.7394,5.082333333,7.45848
2/1/2015,8.79102,8.06042,6.7768,6.686,6.7394,5.082333333,7.45848
3/1/2015,8.79102,8.06042,6.7768,6.686,6.7394,5.082333333,7.4158
4/1/2015,8.51923,7.78863,6.2377,6.1561,6.1624,5.181233333,7.4158
5/1/2015,8.51923,7.78863,6.2377,6.1561,6.1624,5.181233333,7.4158
6/1/2015,6.26431,6.26431,8.0198,7.861,7.8576,7.127433333,8.11392
7/1/2015,6.26431,6.26431,8.1882,8.0709,8.1063,7.112933333,8.11392
8/1/2015,6.26431,6.26431,8.1882,8.0709,8.1063,7.112933333,8.11392
9/1/2015,6.26431,6.26431,7.1171,6.9998,7.0352,7.112933333,7.04274
10/1/2015,6.118,6.118,7.3317,7.2241,7.2559,6.188566667,7.04274
11/1/2015,6.118,6.118,7.3317,7.2241,7.2559,6.200066667,7.04274
12/1/2015,6.118,6.118,7.3317,7.2241,7.2559,6.200066667,6.83821
1/1/2016,5.87168,5.87168,7.4699,7.324,7.3684,6.090566667,6.962885
2/1/2016,5.87168,5.87168,7.4699,7.324,7.3684,6.090566667,6.962885
3/1/2016,5.87168,5.87168,7.4699,7.324,7.3684,6.090566667,7.405465
4/1/2016,6.26065,6.26065,7.404,7.2116,7.2246,6.070266667,6.229455
5/1/2016,6.10167,6.10167,7.404,7.2116,7.2246,6.070266667,6.229455
6/1/2016,5.74167,5.74167,6.4007,6.2546,6.2666,6.355266667,6.754805
7/1/2016,5.68545,5.68545,6.0635,5.9301,5.9217,6.389466667,6.754805
8/1/2016,5.68545,5.68545,6.0635,5.9301,5.9217,6.389466667,6.754805
9/1/2016,5.68545,5.68545,5.24,5.1066,5.0982,6.389466667,6.202725
10/1/2016,5.99004,5.99004,5.2951,5.2186,5.1927,5.741466667,6.202725
11/1/2016,5.99004,5.99004,5.2951,5.2186,5.1927,5.741466667,6.202725
12/1/2016,5.99004,5.99004,5.2951,5.2186,5.1927,5.741466667,6.202475
1/1/2017,5.68646,5.68646,5.392,5.3623,5.3908,5.686466667,6.202475
2/1/2017,5.68646,5.68646,5.392,5.3623,5.3908,5.686466667,6.202475
3/1/2017,5.68646,5.68646,5.392,5.3623,5.3908,5.686466667,6.183275
4/1/2017,6.05222,6.05222,5.07,5.0119,5.0364,5.630766667,6.183275
5/1/2017,6.05222,6.05222,5.07,5.0119,5.0364,5.630766667,6.183275
6/1/2017,5.89122,5.89122,6.2793,6.1945,6.2987,6.220066667,5.40168
7/1/2017,5.53353,5.53353,6.6282,6.4636,6.5702,6.220666667,5.40168
8/1/2017,5.53353,5.53353,6.6282,6.4636,6.5702,6.220666667,5.40168
9/1/2017,5.53353,5.53353,5.7953,5.6307,5.7373,6.220666667,5.37685
10/1/2017,5.8601,5.8601,5.9098,5.7612,5.8631,5.524333333,5.37685
11/1/2017,5.8601,5.8601,5.9098,5.7612,5.8631,5.524333333,5.16499
12/1/2017,5.8601,5.8601,5.9098,5.7612,5.8631,5.524333333,5.16499
1/1/2018,5.63045,5.63045,5.8009,5.707,5.82,5.452133333,5.16499
2/1/2018,5.63045,5.63045,5.8009,5.707,5.82,5.452133333,5.16499
3/1/2018,5.63045,5.63045,5.8009,5.707,5.82,5.452133333,5.16499
4/1/2018,5.92043,5.92043,5.5786,5.4902,5.6083,5.468433333,5.16499
5/1/2018,5.92043,5.92043,5.5786,5.4902,5.6083,5.468433333,5.16499
6/1/2018,5.72923,5.72923,5.9588,5.9991,5.9819,5.9625,5.487485
7/1/2018,5.47378,5.47378,6.1105,6.1223,6.0936,6.0122,5.487485
8/1/2018,5.47378,5.47378,6.1105,6.1223,6.0936,6.0122,5.487485
9/1/2018,5.47378,5.47378,5.3018,5.3136,5.2849,6.0122,5.487485
10/1/2018,5.44833,5.44833,5.3909,5.3617,5.3534,5.3104,5.487485
11/1/2018,5.44833,5.44833,5.3909,5.3617,5.3534,5.3104,5.487485
12/1/2018,5.44833,5.44833,5.3909,5.3617,5.3534,5.3104,5.487485
1/1/2019,5.44439,5.44439,5.2052,5.2115,5.2137,5.1653,5.487485
2/1/2019,5.44439,5.44439,5.2052,5.2115,5.2137,5.1653,5.487485
3/1/2019,5.44439,5.44439,5.2148,5.2115,5.2137,5.1653,5.487485
4/1/2019,5.44074,5.44074,5.2224,5.2356,5.1733,5.193,5.487485
5/1/2019,5.44074,5.44074,5.2224,5.2356,5.1733,5.193,5.487485
6/1/2019,5.19174,5.19174,5.8782,5.8838,5.8253,5.7681,5.20553
7/1/2019,5.24273,5.24273,5.8981,5.9134,5.8411,5.7511,5.20553
8/1/2019,5.24273,5.24273,5.8981,5.9134,5.8411,5.7511,5.20553
9/1/2019,5.24273,5.24273,5.1087,5.124,5.0497,5.7511,5.20553
10/1/2019,5.52899,5.52899,5.0481,5.0527,5.0393,5.016666667,5.20553
11/1/2019,5.52899,5.52899,5.0481,5.0527,5.0393,4.994366667,5.20553
12/1/2019,5.52899,5.52899,5.0481,5.0527,5.0393,4.994366667,5.20553
1/1/2020,5.42416,5.42416,5.125,5.1188,5.1104,5.035766667,5.20553
2/1/2020,5.42416,5.42416,5.125,5.1188,5.1104,5.035766667,5.20553
3/1/2020,5.42416,5.42416,5.125,5.1188,5.1104,5.035766667,5.20553
4/1/2020,5.27166,5.27166,5.2374,5.2445,5.212,5.202166667,5.20553
5/1/2020,5.27166,5.27166,5.2374,5.2445,5.212,5.202166667,5.20553
6/1/2020,4.70566,4.70566,5.5129,5.4542,5.5432,5.5094,4.60468
7/1/2020,4.6406,4.6406,5.4359,5.3347,5.437,5.5082,4.60468
8/1/2020,4.6406,4.6406,5.4359,5.3347,5.437,5.5082,4.60468
9/1/2020,4.6406,4.6406,4.7105,4.6093,4.7116,5.5082,4.60468
10/1/2020,5.04474,5.04474,4.7937,4.7448,4.8312,4.627033333,4.60468
11/1/2020,5.04474,5.04474,4.7937,4.7448,4.8312,4.622133333,4.60468
12/1/2020,5.04474,5.04474,4.7937,4.7448,4.8312,4.622133333,4.60468
