Date,AEPCSP,AEPOP,FECEI,FEOE,FETE,DUKE,DPL
14-Jan,9.30039,7.06186,6.1962,6.1502,6.1075,6.7518,3.793226795
14-Feb,9.30039,7.06186,6.1962,6.1502,6.1075,6.7912,3.793226795
14-Mar,9.30039,7.06186,6.1962,6.1502,6.1075,6.7912,3.793226795
14-Apr,9.84324,7.79039,6.3418,6.3304,6.2848,6.8461,3.793226795
14-May,9.84324,7.79039,6.3418,6.3304,7.9183,6.8461,3.793226795
14-Jun,9.84324,7.79039,7.9561,7.9584,7.9183,8.1997,5.518589323
14-Jul,9.081371,6.93186,8.1263,8.1093,8.0737,8.1897,5.518589323
14-Aug,9.081371,6.93186,8.1263,8.1093,7.098,8.1897,5.518589323
14-Sep,8.986091,6.83658,7.1506,7.1336,7.098,8.1897,4.495032298
14-Oct,9.71957,7.55499,7.0791,7.0318,7.049,7.5846,4.495032298
14-Nov,7.84557,6.5033,7.0791,7.0318,7.049,7.5846,4.495032298
14-Dec,7.84557,6.5033,7.0791,7.0318,7.049,7.5846,4.162939256
15-Jan,6.59835,6.59835,6.9997,6.9592,6.9653,7.3757,4.720871586
15-Feb,6.46249,6.46249,6.9997,6.9592,6.9653,7.3757,4.720871586
15-Mar,6.46249,6.46249,6.9997,6.9592,6.9653,7.3757,4.65483328
15-Apr,6.20015,6.20015,6.4606,6.4293,6.3883,7.4746,4.65483328
15-May,6.20015,6.20015,6.4606,6.4293,6.3883,7.4746,4.65483328
15-Jun,5.50738,5.50738,8.1677,8.0998,8.0121,6.53365,5.474737252
15-Jul,5.50738,5.50738,8.3361,8.3097,8.2608,6.51915,5.474737252
15-Aug,5.50738,5.50738,8.3361,8.3097,8.2608,6.51915,5.474737252
15-Sep,5.50738,5.50738,7.265,7.2386,7.1897,6.51915,4.346862123
15-Oct,5.36718,5.36718,7.4796,7.4629,7.4104,6.59665,4.346862123
15-Nov,5.36718,5.36718,7.4796,7.4629,7.4104,6.78665,4.346862123
15-Dec,5.36718,5.36718,7.4796,7.4629,7.4104,6.78665,4.063430517
16-Jan,5.11491,5.11491,7.6178,7.5628,7.5229,6.67715,5.786841878
16-Feb,5.11491,5.11491,7.6178,7.5628,7.5229,6.67715,5.786841878
16-Mar,5.11491,5.11491,7.6178,7.5628,7.5229,6.67715,6.229421878
16-Apr,5.50202,5.50202,7.5519,7.4504,7.3791,6.65685,5.084481878
16-May,5.49741,5.49741,7.5519,7.4504,7.3791,6.65685,5.084481878
16-Jun,5.19041,5.19041,6.5705,6.5122,6.4738,6.63355,5.609831878
16-Jul,5.13329,5.13329,6.2333,6.1877,6.1289,6.32755,5.609831878
16-Aug,5.13329,5.13329,6.2333,6.1877,6.1289,6.32755,5.609831878
16-Sep,5.13329,5.13329,5.4098,5.3642,5.3054,6.32755,5.057665442
16-Oct,5.43841,5.43841,5.4649,5.4762,5.3999,6.33355,5.057665442
